run_id,variety,change_id,mode,check_class,change_time,action,boundary_before,boundary_after,test_drop_result,reason,notes_changes,,,
T152,gala,1,stem_crack1,juice,09:07,a,25,50,ts,dirt_stem,noticed from juice drops,,Result - ,"ok(fine), ts(too sensitive), m(mixed defects), na(not accurate)"
T152,gala,2,holes_ir,juice,09:11,c,25,25,ok,,,,Action - ,"c(check), a(ajust)"
T152,gala,3,holes_ir,class2,09:18,a,0,10,tl,,"no winddamage hence drop the value, higher accuracy",,,
T152,gala,4,holes_ir2,juice,09:22,c,50,50,ok,,"50%, might see on the stem",,,
T152,gala,5,stem_decay_ir,juice,09:39,a,50,0,m,leaf,"noticed leaves in juice drop, move to after leaf",,,
T152,gala,6,stem_decay_ir,juice_front,09:42,a,0,50,ok,crack_stem,,,,
T152,gala,7,decay_ir,juice_front,09:56,a,100,200,ok,leaf,,,,
T152,gala,8,bruises_rgb,class2,10:32,a,150,200,m,,"Recorded leaves samples showing, ColorRGB pick up low color parts",,,
T152,gala,9,bruises_rgb,juice,10:46,a,300,0,ts,,,,,
T152,gala,10,sunburn_lbd,class2,11:06,a,90,30,tl,,,,,
T152,gala,11,winddamage_ir,juice,11:26,c,30,30,ok,"russets,punctures,spots,cuts",,,,
T152,gala,12,winddamage_ir,class2,11:34,a,0,15,ok,,,,,
T152,gala,13,holes_ir,class2,11:37,c,10,10,ok,,recheck after several setups,,,
T153,gala,1,holes_ir,class2,14:11,c,10,10,ok,,,,,
T153,gala,2,stem_crack1,juice,14:16,c,100,100,na,,dirty stem,,,
T153,gala,3,holes_ir,juice,14:20,c,25,25,ok,,,,,
T153,gala,4,sunburn_lbd,class2,14:29,c,30,30,ok,,,,,
T153,gala,5,holes_ir,class1,14:32,a,25,5,tl,,,,,
T153,gala,6,bruiese_ir,class2_front,14:42,a,60,40,tl,insect,,,,
T153,gala,7,red_scale_rgb,class2,14:45,c,80,80,ok,,,,,
T153,gala,8,red_scale_rgb,class1,14:46,c,40,40,ok,,,,,
T153,gala,9,bruises_ir2,class1,14:54,a,100,120,ts,"insect,scab",,,,
T153,gala,10,bruises_ir2,class2,15:05,a,250,280,ts,,,,,
T153,gala,11,bruises_ir2,class1,15:07,c,120,120,ok,,,,,
T153,gala,12,bruiese_ir,class1,15:17,a,40,10,m,,"sunburn light is able to detect as well, good for premium",,,
T153,gala,13,winddamage_ir,class1,15:30,a,0,1,m,,,,,
T153,gala,14,c2defects_ir,class1,15:52,a,0,10,m,"winddamage_minor,marks_skin",,,,
T154,gala,1,bruises_ir,class1,07:51,c,10,10,ok,"russets,punctures,sunburn",recorded clean samples leading,,,
T155,gala,1,stem_crack1,juice,11:41,c,100,100,ts,,,,,
T155,gala,2,holes_ir2,juice,11:43,a,50,70,ts,,,,,
T155,gala,3,holes_ir,juice,11:45,a,25,35,m,marks_skin,,,,
T155,gala,4,holes_ir,class2,11:47,c,10,10,ok,,,,,
T155,gala,5,sunburn_lbd,class2,11:54,c,30,30,ok,,,,,
T155,gala,6,sunburn_lbd,juice,11:57,a,800,600,tl,sunburn,,,,
T155,gala,7,holes_ir,class1,12:00,a,5,10,ts,,,,,
T155,gala,8,holes_ir,class2,12:02,a,10,15,ts,,,,,
T155,gala,9,holes_ir2,juice,12:09,c,70,70,m,,half clean fruit but less activation,,,
T155,gala,10,decay_ir,juice,12:10,c,0,0,ts,leaf,,,,
T155,gala,11,decay_ir,juice_front,12:18,a,200,50,ok,"sunburn_major,decay",,,,
T155,gala,12,c2defects_ir2,class1,12:24,c,65,65,ok,"marks_skin,punctures",,,,
T156,modi,1,holes_ir,juice,03:10,a,5,10,ts,"punctures,marks_skin",,,,
T156,modi,2,holes_ir2,juice,15:13,a,1,50,ts,,,,,
T156,modi,3,stem_crack1,juice,15:16,a,20,0,ts,stem_dirt,,,,
T156,modi,4,red_scale_rgb,juice,15:20,a,25,60,na,,,,,
T156,modi,5,russeting_lbd,juice,15:27,a,270,400,ts,,,,,
T156,modi,6,bruises_ir2,juice_front,15:30,a,100,150,ts,,,,,
T157,kanzi,1,stem_crack1,juice,07:09,c,30,30,ts,"stem dirt, stem",,,,
T157,kanzi,2,stem_average_ir,juice,07:20,c,0,0,na,"leaf,clean",>200,,,
T157,kanzi,3,holes_ir,juice,07:23,a,25,20,ok,holes,,,,
T157,kanzi,4,stem_decay_ir,juice,07:24,c,0,0,ok,leaf,>400,,,
T157,kanzi,5,decay_lbd,juice_front,07:27,a,400,0,na,leaf,,,,
T157,kanzi,6,major_ir,juice_front,07:40,a,35,100,na,"leaf,clean",,,,
T157,kanzi,7,stem_crack2,juice,07:47,a,0,15,tl,minor_crack,,,,
T157,kanzi,8,scab_ir2,juice,08:10,a,240,140,m,"lenticel,green,bruises_major,major",,,,
T157,kanzi,9,stem_crack1,juice,08:15,a,30,25,ok,"stem _crack,stem",,,,
T157,kanzi,10,lenticel_rgb,juice,08:25,a,15,10,tl,"lenticel,crack_minor",,,,
T157,kanzi,11,bruises_rgb,juice,08:32,a,160,140,tl,,,,,
T157,kanzi,12,bruiese_ir,juice,08:41,a,0,100,tl,bruises,,,,
T157,kanzi,13,c2defects_ir2,juice,09:00,a,0,35,tl,"holes,cracks",only c2 settings,,,
T157,kanzi,14,holes_ir,juice,09:23,a,20,15,ok,,new Decfile applied:N002,,,
T157,kanzi,15,stem_average_ir,juice,09:31,c,0,0,na,"stem_crack,leaf",,,,
T158,pink_lady,1,limbrubs_ir,class2,12:02,c,12,12,ok,"lenticel_minor, insect",,,,
T158,pink_lady,2,hail_ir,class2,12:04,c,15,15,ok,"lenticel,punchers,skin_crack,lump",,,,
T158,pink_lady,3,stem_puncture_ir2,class2,12:08,c,45,45,ok,"puncture,lenticel,scab",,,,
T158,pink_lady,4,decay_rgb,class3,12:09,c,200,200,ok,,there are leaves on Class 3,,,
T158,pink_lady,5,leaf,leaf,12:18,c,0,0,ts,,many no leaves have been activated,,,
T158,pink_lady,6,bruises_ir2,class1,13:41,c,25,25,ok,,,,,
T159,pink_lady,1,decay_lbd,class3,15:24,a,300,0,swap,"leaf,decay",,,,
T159,pink_lady,2,decay_lbd,class3_front,15:24,a,0,300,swap,,,,,
T159,pink_lady,3,leaf,leaf,15:33,a,0,100,m,,leaf is reading lighter green skin,,,
T160,pink_lady,1,san_jose_rgb,class2,08:57,c,70,70,na,clean,skin with little white spots affect the accuracy?,,,
T161,pink_lady,1,calyx_minor_ir,class2,10:33,a,50,5,tl,,noticed from c1 drop,,,
T161,pink_lady,2,decay_lbd,class3,10:36,c,0,0,na,leaf,,,,
T161,pink_lady,3,san_jose_rgb,class2,10:57,c,70,70,na,,skin with little white spots affect the accuracy?,,,
T161,pink_lady,4,stem_puncture_ir2,class2,11:00,a,45,0,ts,scab_minor,big hits,,,
T161,pink_lady,5,stem_puncture_ir2,juice,11:04,a,80,0,ts,,,,,
T161,pink_lady,6,stem_puncture_ir2,class2,11:07,a,0,70,ok,,move from juice,,,
T161,pink_lady,7,hail_ir,class2,11:10,c,15,15,ok,,,,,
T161,pink_lady,8,holes_ir,class2,11:13,c,1,1,ok,,,,,
T161,pink_lady,9,decay_rgb,juice,11:21,a,50,0,ok,,move to juice,,,
T161,pink_lady,10,decay_rgb,class3,11:21,a,150,50,ok,"major,crack",,,,
T161,pink_lady,11,decay_rgb,class3_front,11:22,c,0,0,na,,,,,
T161,pink_lady,12,major_ir,juice,11:25,a,40,45,ok,,,,,
T161,pink_lady,13,major_ir,class2,11:38,a,0,20,ok,"sunbunr_major,scab_minor,holes",,,,
T162,pink_lady,1,decay_rgb,class3,14:02,a,50,0,na,,,,,
T162,pink_lady,2,holes_ir,class2,14:10,c,1,1,ok,,,,,
T162,pink_lady,3,hail_ir,class2,14:13,c,15,15,ok,,,,,
T162,pink_lady,4,lenticel_ir,class2,14:14,c,12,12,ok,,,,,
T162,pink_lady,5,san_jose_rgb,class2,14:16,c,70,70,ok,,,,,
